Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
48,11420,3239,8136,0,60822323,6729465,4033042,985467,21157669
49,11644,3289,8301,0,61196296,6773238,4059208,1003357,21513518
50,11893,3347,8491,0,62097181,6874628,4119948,1032773,22411158
51,12135,3414,8684,0,67402707,7444449,4461744,1311279,67338509
52,12297,3475,8786,0,67655638,7474366,4479627,1325009,67597530
53,12427,3512,8890,0,67862271,7498769,4494218,1336591,67821077
54,12661,3560,9045,0,68236323,7542903,4520601,1353445,68144790
55,12906,3618,9250,0,68631195,7589244,4548301,1375798,68570760
56,13205,3678,9486,0,70800318,7856284,4708395,1400382,69034129
57,13402,3739,9639,0,71187699,7900780,4735016,1420552,69445864
58,13675,3793,9838,0,71633724,7953211,4766367,1442106,69861265
59,13934,3848,10058,0,72062337,8003518,4796447,1465441,70312602
60,14170,3897,10222,0,72848127,8089961,4848217,1483074,70663323
61,14418,3954,10430,0,73247461,8136275,4875908,1510228,71489611
62,14612,3998,10577,0,73563567,8173211,4897994,1526333,71800511
63,14830,4042,10749,0,73987470,8222629,4927555,1545716,72218188
64,15065,4087,10943,0,74378556,8268525,4954996,1565711,72618348
65,15281,4120,11105,0,75007365,8338646,4996983,1583514,73215408
66,15477,4182,11278,0,75329194,8376381,5019548,1603624,73598059
67,15769,4238,11477,0,77862048,8642333,5179003,1625577,73999513
68,16029,4299,11680,0,85763114,9439707,5657325,1647990,74414159
69,16265,4363,11868,0,86192594,9489576,5687146,1669584,74876328
70,16528,4438,12058,0,86623825,9540470,5717574,1692221,75314050
71,16728,4487,12210,0,87027334,9586785,5745287,1711564,75711627
72,16991,4540,12402,0,87452420,9636464,5774990,1732126,76109802
73,17208,4598,12581,0,90090200,9923026,5946838,1752059,76502562
74,17466,4642,12779,0,91127044,10035256,6014072,1781488,77511880
75,17698,4686,12972,0,91489537,10078227,6039763,1801364,77886849
76,17978,4744,13187,0,91962414,10133013,6072517,1824351,78348136
77,18293,4820,13433,0,92485626,10193773,6108853,1852136,78877736
78,18496,4879,13594,0,92814665,10231843,6131613,1870828,79235737
79,18724,4933,13752,0,93158229,10273159,6156300,1888737,79559154
80,18949,4997,13913,0,93526089,10316110,6181981,1907534,79919988
81,19207,5067,14118,0,93996955,10370884,6214735,1932919,80413478
82,19462,5131,14291,0,94467248,10425426,6247355,1954221,80856976
83,19733,5217,14486,0,94897771,10476310,6277784,1978220,81305578
84,19952,5263,14647,0,95246374,10518038,6302730,1995894,81635930
85,20195,5342,14839,0,95634935,10564169,6330310,2019148,82072653
86,20400,5402,14976,0,95973730,10604325,6354320,2036009,82393536
87,20629,5474,15134,0,96341505,10647950,6380398,2055551,82767370
88,20841,5525,15277,0,96683474,10688174,6404453,2072240,83082188
89,21031,5572,15428,0,97002387,10725933,6427022,2088893,83415748
90,21045,5585,15461,0,97321412,10758986,6446847,2170479,97319650
