Channel State,Experiment Time (minutes),State Time (samples)
locked,47,0
locked,48,0
locked,49,3962
locked,50,0
locked,51,0
locked,52,5015
locked,53,0
locked,54,0
locked,55,0
locked,56,0
locked,57,0
locked,58,0
locked,59,0
locked,60,0
locked,61,0
locked,62,1792
locked,63,5006
locked,64,5014
locked,65,10020
locked,66,5008
locked,67,0
locked,68,0
locked,69,0
locked,70,0
locked,71,0
locked,72,5038
locked,73,0
locked,74,0
locked,75,0
locked,76,0
locked,77,0
locked,78,0
locked,79,0
locked,80,0
locked,81,1792
locked,82,2240
locked,83,0
locked,84,2209
locked,85,0
locked,86,0
locked,87,0
locked,88,0
locked,89,0
locked,90,0
locked,91,0
locked,92,4721981
locked,93,3520697
locked,94,0
locked,95,0
locked,96,2412
locked,97,0
locked,98,0
multiple,0,0
multiple,1,166816
multiple,2,0
multiple,3,0
multiple,4,0
multiple,5,0
multiple,6,0
multiple,7,0
multiple,8,0
multiple,9,0
multiple,10,0
multiple,11,0
multiple,12,0
multiple,13,0
multiple,14,0
multiple,15,0
multiple,16,0
multiple,17,0
multiple,18,0
multiple,19,0
multiple,20,0
multiple,21,0
multiple,22,0
multiple,23,0
multiple,24,0
multiple,25,0
multiple,26,0
multiple,27,0
multiple,28,0
multiple,29,1329
multiple,30,0
multiple,31,0
multiple,32,0
multiple,33,0
multiple,34,0
multiple,35,0
multiple,36,0
multiple,37,0
multiple,38,0
multiple,39,0
multiple,40,0
multiple,41,0
multiple,42,0
multiple,43,0
multiple,44,0
multiple,45,0
multiple,46,0
multiple,47,0
multiple,48,0
multiple,49,0
multiple,50,0
multiple,51,0
multiple,52,0
multiple,53,0
multiple,54,0
multiple,55,0
multiple,56,0
multiple,57,0
multiple,58,0
multiple,59,0
multiple,60,0
multiple,61,0
multiple,62,0
multiple,63,0
multiple,64,0
multiple,65,0
multiple,66,0
multiple,67,0
multiple,68,0
multiple,69,0
multiple,70,0
multiple,71,0
multiple,72,0
multiple,73,0
multiple,74,0
multiple,75,0
multiple,76,0
multiple,77,0
multiple,78,0
multiple,79,0
multiple,80,0
multiple,81,0
multiple,82,0
multiple,83,0
multiple,84,0
multiple,85,0
multiple,86,0
multiple,87,0
multiple,88,0
multiple,89,0
multiple,90,0
multiple,91,0
multiple,92,0
multiple,93,171962
multiple,94,167260
multiple,95,351734
multiple,96,1353
multiple,97,0
multiple,98,0
no_pore,0,0
no_pore,1,856638
no_pore,2,20400000
no_pore,3,20400000
no_pore,4,20400000
no_pore,5,20400000
no_pore,6,20400000
no_pore,7,20400000
no_pore,8,20400000
no_pore,9,20400000
no_pore,10,20400000
no_pore,11,20400000
no_pore,12,20400000
no_pore,13,20400000
no_pore,14,20400000
no_pore,15,20400000
no_pore,16,20400000
no_pore,17,20400000
no_pore,18,20400000
no_pore,19,20400000
no_pore,20,20400000
no_pore,21,20400000
no_pore,22,20400000
no_pore,23,20400000
no_pore,24,20400000
no_pore,25,20400000
no_pore,26,20400000
no_pore,27,20400000
no_pore,28,20400000
no_pore,29,20400000
no_pore,30,20400000
no_pore,31,20400000
no_pore,32,20400000
no_pore,33,20400000
no_pore,34,20400000
no_pore,35,20400000
no_pore,36,20400000
no_pore,37,20400000
no_pore,38,20400000
no_pore,39,20400000
no_pore,40,20400000
no_pore,41,20400000
no_pore,42,20400000
no_pore,43,20400000
no_pore,44,20400000
no_pore,45,20400000
no_pore,46,20400000
no_pore,47,20400000
no_pore,48,20400000
no_pore,49,20400000
no_pore,50,20400000
no_pore,51,20400000
no_pore,52,20400000
no_pore,53,20400000
no_pore,54,20400000
no_pore,55,20400000
no_pore,56,20400000
no_pore,57,20400000
no_pore,58,20400000
no_pore,59,20400000
no_pore,60,20400000
no_pore,61,20400000
no_pore,62,20400000
no_pore,63,20400000
no_pore,64,20400000
no_pore,65,20400000
no_pore,66,20400000
no_pore,67,20400000
no_pore,68,20400000
no_pore,69,20400000
no_pore,70,20400000
no_pore,71,20400000
no_pore,72,20400000
no_pore,73,20400000
no_pore,74,20400000
no_pore,75,20400000
no_pore,76,20400000
no_pore,77,20400000
no_pore,78,20400000
no_pore,79,20400000
no_pore,80,20400000
no_pore,81,20400000
no_pore,82,20400000
no_pore,83,20400000
no_pore,84,20400000
no_pore,85,20400000
no_pore,86,20400000
no_pore,87,20400000
no_pore,88,20400000
no_pore,89,20400000
no_pore,90,20400000
no_pore,91,20400000
no_pore,92,20400000
no_pore,93,8277677
no_pore,94,0
no_pore,95,2906057
no_pore,96,27600000
no_pore,97,27600000
no_pore,98,3144524
pending_manual_reset,0,561301
pending_manual_reset,1,357494
pending_manual_reset,2,0
pending_manual_reset,3,0
pending_manual_reset,4,0
pending_manual_reset,5,0
pending_manual_reset,6,0
pending_manual_reset,7,0
pending_manual_reset,8,0
pending_manual_reset,9,0
pending_manual_reset,10,0
pending_manual_reset,11,0
pending_manual_reset,12,0
pending_manual_reset,13,0
pending_manual_reset,14,0
pending_manual_reset,15,0
pending_manual_reset,16,0
pending_manual_reset,17,0
pending_manual_reset,18,0
pending_manual_reset,19,0
pending_manual_reset,20,0
pending_manual_reset,21,0
pending_manual_reset,22,0
pending_manual_reset,23,0
pending_manual_reset,24,0
pending_manual_reset,25,0
pending_manual_reset,26,0
pending_manual_reset,27,0
pending_manual_reset,28,0
pending_manual_reset,29,0
pending_manual_reset,30,0
pending_manual_reset,31,0
pending_manual_reset,32,0
pending_manual_reset,33,0
pending_manual_reset,34,0
pending_manual_reset,35,0
pending_manual_reset,36,0
pending_manual_reset,37,0
pending_manual_reset,38,0
pending_manual_reset,39,0
pending_manual_reset,40,0
pending_manual_reset,41,0
pending_manual_reset,42,0
pending_manual_reset,43,0
pending_manual_reset,44,0
pending_manual_reset,45,0
pending_manual_reset,46,0
pending_manual_reset,47,0
pending_manual_reset,48,0
pending_manual_reset,49,0
pending_manual_reset,50,0
pending_manual_reset,51,0
pending_manual_reset,52,0
pending_manual_reset,53,0
pending_manual_reset,54,0
pending_manual_reset,55,0
pending_manual_reset,56,0
pending_manual_reset,57,0
pending_manual_reset,58,0
pending_manual_reset,59,0
pending_manual_reset,60,0
pending_manual_reset,61,0
pending_manual_reset,62,0
pending_manual_reset,63,0
pending_manual_reset,64,0
pending_manual_reset,65,0
pending_manual_reset,66,0
pending_manual_reset,67,0
pending_manual_reset,68,0
pending_manual_reset,69,0
pending_manual_reset,70,0
pending_manual_reset,71,0
pending_manual_reset,72,0
pending_manual_reset,73,0
pending_manual_reset,74,0
pending_manual_reset,75,0
pending_manual_reset,76,0
pending_manual_reset,77,0
pending_manual_reset,78,0
pending_manual_reset,79,0
pending_manual_reset,80,0
pending_manual_reset,81,0
pending_manual_reset,82,0
pending_manual_reset,83,0
pending_manual_reset,84,0
pending_manual_reset,85,0
pending_manual_reset,86,0
pending_manual_reset,87,0
pending_manual_reset,88,0
pending_manual_reset,89,0
pending_manual_reset,90,0
pending_manual_reset,91,0
pending_manual_reset,92,0
pending_manual_reset,93,0
pending_manual_reset,94,511682
pending_manual_reset,95,182272
pending_manual_reset,96,0
pending_manual_reset,97,0
pending_manual_reset,98,0
pending_mux_change,0,472302
pending_mux_change,1,304997
pending_mux_change,2,262958
pending_mux_change,3,127807
pending_mux_change,4,164181
pending_mux_change,5,195687
pending_mux_change,6,165214
pending_mux_change,7,163176
pending_mux_change,8,138084
pending_mux_change,9,162338
pending_mux_change,10,154141
pending_mux_change,11,129729
pending_mux_change,12,151415
pending_mux_change,13,103480
pending_mux_change,14,119681
pending_mux_change,15,111486
pending_mux_change,16,150740
pending_mux_change,17,158243
pending_mux_change,18,155639
pending_mux_change,19,156727
pending_mux_change,20,145165
pending_mux_change,21,153229
pending_mux_change,22,165802
pending_mux_change,23,167711
pending_mux_change,24,119822
pending_mux_change,25,164083
pending_mux_change,26,175955
pending_mux_change,27,145283
pending_mux_change,28,159523
pending_mux_change,29,182076
pending_mux_change,30,154481
pending_mux_change,31,157523
pending_mux_change,32,171468
pending_mux_change,33,159435
pending_mux_change,34,159935
pending_mux_change,35,171355
pending_mux_change,36,204209
pending_mux_change,37,192327
pending_mux_change,38,164340
pending_mux_change,39,202940
pending_mux_change,40,234927
pending_mux_change,41,204875
pending_mux_change,42,197277
pending_mux_change,43,184925
pending_mux_change,44,148274
pending_mux_change,45,173729
pending_mux_change,46,162278
pending_mux_change,47,173385
pending_mux_change,48,171245
pending_mux_change,49,156204
pending_mux_change,50,149716
pending_mux_change,51,173115
pending_mux_change,52,186271
pending_mux_change,53,140638
pending_mux_change,54,123333
pending_mux_change,55,177213
pending_mux_change,56,171321
pending_mux_change,57,156570
pending_mux_change,58,190610
pending_mux_change,59,148748
pending_mux_change,60,148213
pending_mux_change,61,157243
pending_mux_change,62,118661
pending_mux_change,63,148691
pending_mux_change,64,143542
pending_mux_change,65,143016
pending_mux_change,66,175990
pending_mux_change,67,101734
pending_mux_change,68,135679
pending_mux_change,69,162858
pending_mux_change,70,172091
pending_mux_change,71,169359
pending_mux_change,72,147145
pending_mux_change,73,142381
pending_mux_change,74,138332
pending_mux_change,75,110146
pending_mux_change,76,111833
pending_mux_change,77,69166
pending_mux_change,78,56044
pending_mux_change,79,81906
pending_mux_change,80,89781
pending_mux_change,81,99278
pending_mux_change,82,131627
pending_mux_change,83,134955
pending_mux_change,84,127635
pending_mux_change,85,111854
pending_mux_change,86,113169
pending_mux_change,87,148141
pending_mux_change,88,111313
pending_mux_change,89,83457
pending_mux_change,90,107930
pending_mux_change,91,84030
pending_mux_change,92,92171
pending_mux_change,93,163209
pending_mux_change,94,306336
pending_mux_change,95,408245
pending_mux_change,96,159604
pending_mux_change,97,123123
pending_mux_change,98,8456
pore,0,0
pore,1,3704128
pore,2,7430633
pore,3,12134763
pore,4,10604215
pore,5,10034871
pore,6,10067680
pore,7,10165863
pore,8,9230616
pore,9,8993077
pore,10,8819669
pore,11,8733754
pore,12,8043997
pore,13,8350076
pore,14,8220902
pore,15,8303938
pore,16,8064707
pore,17,7609106
pore,18,7877756
pore,19,7692087
pore,20,7741876
pore,21,7455979
pore,22,7610880
pore,23,7459817
pore,24,6909640
pore,25,7471924
pore,26,7086040
pore,27,6662349
pore,28,6815492
pore,29,6960769
pore,30,7188357
pore,31,6994970
pore,32,6646873
pore,33,7536755
pore,34,7084347
pore,35,6834995
pore,36,6655508
pore,37,6912703
pore,38,7202037
pore,39,6936375
pore,40,5945258
pore,41,6195970
pore,42,6104314
pore,43,5525248
pore,44,5391654
pore,45,5577032
pore,46,5328806
pore,47,5810468
pore,48,5382002
pore,49,5526307
pore,50,5972547
pore,51,5397911
pore,52,5176922
pore,53,5485735
pore,54,5150443
pore,55,5040120
pore,56,4999957
pore,57,4678146
pore,58,4858630
pore,59,4929941
pore,60,4811534
pore,61,5092008
pore,62,5003703
pore,63,5098468
pore,64,5165126
pore,65,4685142
pore,66,4580827
pore,67,5288181
pore,68,4824443
pore,69,4335617
pore,70,4343538
pore,71,4545093
pore,72,4640840
pore,73,4277224
pore,74,3984753
pore,75,3951126
pore,76,4558453
pore,77,4899328
pore,78,4840705
pore,79,4309898
pore,80,4192717
pore,81,4350402
pore,82,3569521
pore,83,3780153
pore,84,3732492
pore,85,3961494
pore,86,3516826
pore,87,3401437
pore,88,3638172
pore,89,3442727
pore,90,3474957
pore,91,3649071
pore,92,1557084
pore,93,5010
pore,94,0
pore,95,1907523
pore,96,4348233
pore,97,6125879
pore,98,720259
saturated,0,5170692
saturated,1,5063562
saturated,2,0
saturated,3,0
saturated,4,0
saturated,5,0
saturated,6,1860
saturated,7,0
saturated,8,0
saturated,9,821
saturated,10,0
saturated,11,0
saturated,12,0
saturated,13,0
saturated,14,0
saturated,15,0
saturated,16,0
saturated,17,0
saturated,18,0
saturated,19,0
saturated,20,0
saturated,21,0
saturated,22,0
saturated,23,0
saturated,24,0
saturated,25,0
saturated,26,0
saturated,27,0
saturated,28,0
saturated,29,0
saturated,30,0
saturated,31,0
saturated,32,0
saturated,33,0
saturated,34,0
saturated,35,0
saturated,36,0
saturated,37,0
saturated,38,0
saturated,39,0
saturated,40,0
saturated,41,790
saturated,42,0
saturated,43,0
saturated,44,0
saturated,45,0
saturated,46,0
saturated,47,0
saturated,48,0
saturated,49,0
saturated,50,0
saturated,51,0
saturated,52,0
saturated,53,0
saturated,54,0
saturated,55,0
saturated,56,0
saturated,57,0
saturated,58,0
saturated,59,0
saturated,60,0
saturated,61,0
saturated,62,2286
saturated,63,0
saturated,64,0
saturated,65,0
saturated,66,0
saturated,67,0
saturated,68,0
saturated,69,0
saturated,70,0
saturated,71,0
saturated,72,0
saturated,73,0
saturated,74,0
saturated,75,0
saturated,76,0
saturated,77,0
saturated,78,0
saturated,79,0
saturated,80,0
saturated,81,0
saturated,82,0
saturated,83,0
saturated,84,0
saturated,85,0
saturated,86,0
saturated,87,0
saturated,88,0
saturated,89,0
saturated,90,0
saturated,91,0
saturated,92,0
saturated,93,2609035
saturated,94,7399217
saturated,95,6730644
saturated,96,0
saturated,97,0
saturated,98,0
strand,0,0
strand,1,206585
strand,2,370399
strand,3,1081977
strand,4,2267057
strand,5,2435318
strand,6,1737188
strand,7,1452289
strand,8,2027383
strand,9,2242303
strand,10,2452589
strand,11,2229397
strand,12,2521219
strand,13,2670047
strand,14,2783431
strand,15,2537929
strand,16,2702662
strand,17,2719575
strand,18,2462493
strand,19,2791141
strand,20,2701984
strand,21,2996928
strand,22,2754852
strand,23,3016254
strand,24,3735026
strand,25,2743632
strand,26,2846562
strand,27,3313600
strand,28,2702420
strand,29,2480302
strand,30,2426184
strand,31,2311927
strand,32,2387414
strand,33,2061104
strand,34,2126407
strand,35,2117776
strand,36,2364781
strand,37,2047645
strand,38,1939891
strand,39,1966896
strand,40,2442191
strand,41,1821433
strand,42,1490690
strand,43,1735770
strand,44,2257282
strand,45,1760253
strand,46,1893883
strand,47,1951018
strand,48,1801576
strand,49,1581591
strand,50,1583759
strand,51,2420972
strand,52,2407183
strand,53,2386048
strand,54,2242060
strand,55,2076031
strand,56,2117714
strand,57,2258710
strand,58,1705061
strand,59,2082843
strand,60,1697324
strand,61,1594327
strand,62,2046566
strand,63,1749964
strand,64,2117808
strand,65,2310469
strand,66,2233547
strand,67,1813455
strand,68,2340576
strand,69,2147073
strand,70,2058057
strand,71,1776614
strand,72,1554649
strand,73,2073847
strand,74,2074373
strand,75,2683414
strand,76,2059163
strand,77,1827379
strand,78,1725615
strand,79,1961915
strand,80,1976289
strand,81,2054647
strand,82,2362728
strand,83,1773925
strand,84,1928912
strand,85,2062675
strand,86,2255440
strand,87,2365270
strand,88,1954932
strand,89,2142340
strand,90,1959193
strand,91,2084875
strand,92,1747261
strand,93,374841
strand,94,0
strand,95,119612
strand,96,358646
strand,97,717052
strand,98,74076
unavailable,0,1173858
unavailable,1,266095
unavailable,2,417757
unavailable,3,945357
unavailable,4,856440
unavailable,5,795799
unavailable,6,1285422
unavailable,7,1023470
unavailable,8,1024971
unavailable,9,986582
unavailable,10,1069620
unavailable,11,1377501
unavailable,12,1465637
unavailable,13,1553594
unavailable,14,1375707
unavailable,15,1305643
unavailable,16,1023085
unavailable,17,1280178
unavailable,18,1414644
unavailable,19,1302414
unavailable,20,1110145
unavailable,21,1188471
unavailable,22,1534170
unavailable,23,1499268
unavailable,24,1457013
unavailable,25,1673818
unavailable,26,1862910
unavailable,27,1607583
unavailable,28,1978911
unavailable,29,1843815
unavailable,30,1863738
unavailable,31,1622011
unavailable,32,1543280
unavailable,33,1416360
unavailable,34,1185089
unavailable,35,1321416
unavailable,36,1375606
unavailable,37,1416982
unavailable,38,1242954
unavailable,39,1312303
unavailable,40,1303711
unavailable,41,1597887
unavailable,42,1490139
unavailable,43,1926957
unavailable,44,1904100
unavailable,45,1907535
unavailable,46,1466286
unavailable,47,1382131
unavailable,48,1661396
unavailable,49,2026904
unavailable,50,1727736
unavailable,51,1626421
unavailable,52,1513586
unavailable,53,1477086
unavailable,54,1947271
unavailable,55,1776374
unavailable,56,1861279
unavailable,57,1914798
unavailable,58,1905642
unavailable,59,1887412
unavailable,60,2097000
unavailable,61,1860535
unavailable,62,1643009
unavailable,63,1653581
unavailable,64,1297418
unavailable,65,1061762
unavailable,66,842904
unavailable,67,936060
unavailable,68,1120860
unavailable,69,1193125
unavailable,70,1021203
unavailable,71,1198373
unavailable,72,1297751
unavailable,73,1089898
unavailable,74,1340699
unavailable,75,1310040
unavailable,76,977294
unavailable,77,1175800
unavailable,78,1162204
unavailable,79,1450652
unavailable,80,1545020
unavailable,81,1029989
unavailable,82,1308458
unavailable,83,1385519
unavailable,84,1277235
unavailable,85,1555294
unavailable,86,1459167
unavailable,87,1353583
unavailable,88,1171094
unavailable,89,1199958
unavailable,90,1344370
unavailable,91,1562052
unavailable,92,707598
unavailable,93,60890
unavailable,94,460693
unavailable,95,401434
unavailable,96,329127
unavailable,97,559072
unavailable,98,84772
unblocking,0,0
unblocking,1,117798
unblocking,2,276810
unblocking,3,743678
unblocking,4,910686
unblocking,5,1176125
unblocking,6,1082864
unblocking,7,860484
unblocking,8,815857
unblocking,9,778489
unblocking,10,994618
unblocking,11,897500
unblocking,12,1193397
unblocking,13,602060
unblocking,14,561667
unblocking,15,588926
unblocking,16,1001064
unblocking,17,1210866
unblocking,18,886321
unblocking,19,696360
unblocking,20,863664
unblocking,21,1006088
unblocking,22,849756
unblocking,23,1082844
unblocking,24,891978
unblocking,25,892744
unblocking,26,968043
unblocking,27,1180046
unblocking,28,1128422
unblocking,29,1348138
unblocking,30,929264
unblocking,31,995956
unblocking,32,1090867
unblocking,33,923359
unblocking,34,855385
unblocking,35,1150340
unblocking,36,1142438
unblocking,37,1025398
unblocking,38,1325999
unblocking,39,1154290
unblocking,40,1369637
unblocking,41,1664801
unblocking,42,1438051
unblocking,43,1279912
unblocking,44,1330260
unblocking,45,982205
unblocking,46,999237
unblocking,47,1234568
unblocking,48,1201475
unblocking,49,1317179
unblocking,50,998098
unblocking,51,796915
unblocking,52,1179337
unblocking,53,900863
unblocking,54,1008117
unblocking,55,1469107
unblocking,56,1003885
unblocking,57,1258437
unblocking,58,1282106
unblocking,59,1296019
unblocking,60,1372240
unblocking,61,1212362
unblocking,62,888741
unblocking,63,780605
unblocking,64,710028
unblocking,65,1178003
unblocking,66,1172773
unblocking,67,644672
unblocking,68,753016
unblocking,69,1125695
unblocking,70,1398457
unblocking,71,1041792
unblocking,72,849864
unblocking,73,985583
unblocking,74,1082668
unblocking,75,730475
unblocking,76,1352305
unblocking,77,497806
unblocking,78,549382
unblocking,79,658441
unblocking,80,435621
unblocking,81,1064915
unblocking,82,772406
unblocking,83,911020
unblocking,84,980650
unblocking,85,839510
unblocking,86,777267
unblocking,87,1434514
unblocking,88,915986
unblocking,89,652672
unblocking,90,781920
unblocking,91,798381
unblocking,92,528105
unblocking,93,273045
unblocking,94,0
unblocking,95,216104
unblocking,96,284193
unblocking,97,549405
unblocking,98,42633
unclassified,0,3239576
unclassified,1,2522774
unclassified,2,424699
unclassified,3,206307
unclassified,4,323194
unclassified,5,319740
unclassified,6,255426
unclassified,7,298681
unclassified,8,259385
unclassified,9,241752
unclassified,10,319065
unclassified,11,173245
unclassified,12,224677
unclassified,13,187634
unclassified,14,241632
unclassified,15,242625
unclassified,16,237033
unclassified,17,336127
unclassified,18,350820
unclassified,19,318951
unclassified,20,272877
unclassified,21,275078
unclassified,22,272416
unclassified,23,269154
unclassified,24,207434
unclassified,25,288501
unclassified,26,258621
unclassified,27,312368
unclassified,28,303739
unclassified,29,354088
unclassified,30,358625
unclassified,31,320243
unclassified,32,296465
unclassified,33,313020
unclassified,34,393110
unclassified,35,384816
unclassified,36,383048
unclassified,37,382278
unclassified,38,305036
unclassified,39,354362
unclassified,40,425744
unclassified,41,349445
unclassified,42,379673
unclassified,43,317004
unclassified,44,243402
unclassified,45,330442
unclassified,46,284945
unclassified,47,360665
unclassified,48,377976
unclassified,49,279663
unclassified,50,284125
unclassified,51,316802
unclassified,52,278585
unclassified,53,243695
unclassified,54,281925
unclassified,55,374900
unclassified,56,451826
unclassified,57,397423
unclassified,58,533672
unclassified,59,420153
unclassified,60,394199
unclassified,61,484789
unclassified,62,475109
unclassified,63,525225
unclassified,64,451527
unclassified,65,401176
unclassified,66,421778
unclassified,67,454172
unclassified,68,421692
unclassified,69,458557
unclassified,70,428207
unclassified,71,477067
unclassified,72,440768
unclassified,73,436621
unclassified,74,467999
unclassified,75,346175
unclassified,76,331489
unclassified,77,238221
unclassified,78,280269
unclassified,79,332437
unclassified,80,409774
unclassified,81,411075
unclassified,82,339917
unclassified,83,319092
unclassified,84,351550
unclassified,85,220518
unclassified,86,253428
unclassified,87,244954
unclassified,88,242739
unclassified,89,257404
unclassified,90,204056
unclassified,91,93864
unclassified,92,199808
unclassified,93,1734093
unclassified,94,4065759
unclassified,95,3066135
unclassified,96,290582
unclassified,97,266006
unclassified,98,19098
unclassified_following_reset,0,201399
unclassified_following_reset,1,279277
unclassified_following_reset,2,0
unclassified_following_reset,3,0
unclassified_following_reset,4,0
unclassified_following_reset,5,0
unclassified_following_reset,6,0
unclassified_following_reset,7,0
unclassified_following_reset,8,0
unclassified_following_reset,9,0
unclassified_following_reset,10,0
unclassified_following_reset,11,0
unclassified_following_reset,12,0
unclassified_following_reset,13,0
unclassified_following_reset,14,0
unclassified_following_reset,15,0
unclassified_following_reset,16,0
unclassified_following_reset,17,0
unclassified_following_reset,18,0
unclassified_following_reset,19,0
unclassified_following_reset,20,0
unclassified_following_reset,21,0
unclassified_following_reset,22,0
unclassified_following_reset,23,0
unclassified_following_reset,24,0
unclassified_following_reset,25,0
unclassified_following_reset,26,0
unclassified_following_reset,27,0
unclassified_following_reset,28,0
unclassified_following_reset,29,0
unclassified_following_reset,30,0
unclassified_following_reset,31,0
unclassified_following_reset,32,0
unclassified_following_reset,33,0
unclassified_following_reset,34,0
unclassified_following_reset,35,0
unclassified_following_reset,36,0
unclassified_following_reset,37,0
unclassified_following_reset,38,0
unclassified_following_reset,39,0
unclassified_following_reset,40,0
unclassified_following_reset,41,0
unclassified_following_reset,42,0
unclassified_following_reset,43,0
unclassified_following_reset,44,0
unclassified_following_reset,45,0
unclassified_following_reset,46,0
unclassified_following_reset,47,0
unclassified_following_reset,48,0
unclassified_following_reset,49,0
unclassified_following_reset,50,0
unclassified_following_reset,51,0
unclassified_following_reset,52,0
unclassified_following_reset,53,0
unclassified_following_reset,54,0
unclassified_following_reset,55,0
unclassified_following_reset,56,0
unclassified_following_reset,57,0
unclassified_following_reset,58,0
unclassified_following_reset,59,0
unclassified_following_reset,60,0
unclassified_following_reset,61,0
unclassified_following_reset,62,0
unclassified_following_reset,63,0
unclassified_following_reset,64,0
unclassified_following_reset,65,0
unclassified_following_reset,66,0
unclassified_following_reset,67,0
unclassified_following_reset,68,0
unclassified_following_reset,69,0
unclassified_following_reset,70,0
unclassified_following_reset,71,0
unclassified_following_reset,72,0
unclassified_following_reset,73,0
unclassified_following_reset,74,0
unclassified_following_reset,75,0
unclassified_following_reset,76,0
unclassified_following_reset,77,0
unclassified_following_reset,78,0
unclassified_following_reset,79,0
unclassified_following_reset,80,0
unclassified_following_reset,81,0
unclassified_following_reset,82,0
unclassified_following_reset,83,0
unclassified_following_reset,84,0
unclassified_following_reset,85,0
