Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
85,4904,1485,3408,0,114573235,12109222,7263524,906421,99897611
86,4942,1497,3433,0,114636743,12116408,7267820,909472,99956034
87,4985,1512,3462,0,116680825,12329739,7395804,913237,100035973
88,5031,1525,3493,0,126311274,13353016,8009751,1023973,119298348
89,5072,1541,3524,0,131113629,13913885,8346256,1028014,119388450
90,5111,1549,3554,0,131183432,13921820,8351000,1031562,119466137
91,5155,1565,3583,0,131270183,13931761,8356947,1036180,119550700
92,5175,1573,3599,0,131686998,13974939,8382846,1043955,119977521
93,5176,1573,3599,0,132426334,14055231,8431021,1043955,119977521
94,5179,1573,3605,0,146291354,15570092,9339936,1163094,143091471
95,5199,1578,3620,0,146328358,15574386,9342504,1164706,143128475
96,5259,1591,3660,0,146470124,15590681,9352258,1170395,143252372
97,5312,1609,3697,0,146582308,15604043,9360255,1177026,143372515
98,5326,1614,3713,0,146602749,15606458,9361699,1235315,146602649
